model,model_label,metric,fold,value
dummy_prior,Dummy (prior),fail_recall,1,0.0
dummy_prior,Dummy (prior),fail_recall,2,0.0
dummy_prior,Dummy (prior),fail_recall,3,0.0
dummy_prior,Dummy (prior),fail_recall,4,0.0
dummy_prior,Dummy (prior),fail_recall,5,0.0
dummy_prior,Dummy (prior),fail_recall,6,0.0
dummy_prior,Dummy (prior),fail_recall,7,0.0
dummy_prior,Dummy (prior),fail_recall,8,0.0
dummy_prior,Dummy (prior),fail_recall,9,0.0
dummy_prior,Dummy (prior),fail_recall,10,0.0
dummy_prior,Dummy (prior),fail_recall,11,0.0
dummy_prior,Dummy (prior),fail_recall,12,0.0
dummy_prior,Dummy (prior),fail_recall,13,0.0
dummy_prior,Dummy (prior),fail_recall,14,0.0
dummy_prior,Dummy (prior),fail_recall,15,0.0
dummy_prior,Dummy (prior),fail_precision,1,0.0
dummy_prior,Dummy (prior),fail_precision,2,0.0
dummy_prior,Dummy (prior),fail_precision,3,0.0
dummy_prior,Dummy (prior),fail_precision,4,0.0
dummy_prior,Dummy (prior),fail_precision,5,0.0
dummy_prior,Dummy (prior),fail_precision,6,0.0
dummy_prior,Dummy (prior),fail_precision,7,0.0
dummy_prior,Dummy (prior),fail_precision,8,0.0
dummy_prior,Dummy (prior),fail_precision,9,0.0
dummy_prior,Dummy (prior),fail_precision,10,0.0
dummy_prior,Dummy (prior),fail_precision,11,0.0
dummy_prior,Dummy (prior),fail_precision,12,0.0
dummy_prior,Dummy (prior),fail_precision,13,0.0
dummy_prior,Dummy (prior),fail_precision,14,0.0
dummy_prior,Dummy (prior),fail_precision,15,0.0
dummy_prior,Dummy (prior),fail_f1,1,0.0
dummy_prior,Dummy (prior),fail_f1,2,0.0
dummy_prior,Dummy (prior),fail_f1,3,0.0
dummy_prior,Dummy (prior),fail_f1,4,0.0
dummy_prior,Dummy (prior),fail_f1,5,0.0
dummy_prior,Dummy (prior),fail_f1,6,0.0
dummy_prior,Dummy (prior),fail_f1,7,0.0
dummy_prior,Dummy (prior),fail_f1,8,0.0
dummy_prior,Dummy (prior),fail_f1,9,0.0
dummy_prior,Dummy (prior),fail_f1,10,0.0
