feature,missing_count,missing_pct,observed_count,observed_unique,all_missing,observed_constant,observed_variance
feature_157,1429,0.9119336311423102,138,128,False,False,0.0015518980970384373
feature_158,1429,0.9119336311423102,138,138,False,False,164326.4910184255
feature_292,1429,0.9119336311423102,138,92,False,False,0.00013114678638941396
feature_293,1429,0.9119336311423102,138,138,False,False,18821.834231300283
feature_085,1341,0.8557753669432036,226,97,False,False,8.537150912365883e-06
feature_220,1341,0.8557753669432036,226,69,False,False,3.938640653144333e-06
feature_358,1341,0.8557753669432036,226,20,False,False,1.5510474586890123e-07
feature_492,1341,0.8557753669432036,226,226,False,False,3.081308795281737
feature_109,1018,0.6496490108487556,549,96,False,False,7.54633868500768e-05
feature_110,1018,0.6496490108487556,549,546,False,False,3.528289840889116
feature_111,1018,0.6496490108487556,549,545,False,False,4.424290006606417
feature_244,1018,0.6496490108487556,549,66,False,False,0.00714709966980866
feature_245,1018,0.6496490108487556,549,539,False,False,18.763311298982813
feature_246,1018,0.6496490108487556,549,547,False,False,100.71991339310824
feature_382,1018,0.6496490108487556,549,29,False,False,0.0007137231837319716
feature_383,1018,0.6496490108487556,549,525,False,False,1.795058422543522
feature_384,1018,0.6496490108487556,549,536,False,False,10.02064625808899
feature_516,1018,0.6496490108487556,549,498,False,False,116.08024187948519
feature_517,1018,0.6496490108487556,549,543,False,False,23.875021293802146
feature_518,1018,0.6496490108487556,549,542,False,False,22.19914991476432
feature_578,949,0.6056158264199106,618,322,False,False,0.00013737752254375216
feature_579,949,0.6056158264199106,618,260,False,False,9.278178642871356e-05
feature_580,949,0.6056158264199106,618,120,False,False,9.693656774646265e-06
feature_581,949,0.6056158264199106,618,611,False,False,7647.524838039998
feature_072,794,0.5067007019783025,773,773,False,False,337.6988053794424
feature_073,794,0.5067007019783025,773,770,False,False,310.41078118196316
feature_345,794,0.5067007019783025,773,767,False,False,306.30718245738376
feature_346,794,0.5067007019783025,773,762,False,False,291.26365852904945
feature_112,715,0.4562858966177409,852,249,False,False,0.002392261620420882
feature_247,715,0.4562858966177409,852,490,False,False,0.004467711027945844
feature_385,715,0.4562858966177409,852,232,False,False,0.00020612905998589347
feature_519,715,0.4562858966177409,852,836,False,False,249.80233620110704
feature_562,273,0.1742182514358647,1294,873,False,False,58.180834833147394
feature_563,273,0.1742182514358647,1294,785,False,False,0.014813495767942159
feature_564,273,0.1742182514358647,1294,581,False,False,6.930400888478269
feature_565,273,0.1742182514358647,1294,753,False,False,0.0065757507674524445
feature_566,273,0.1742182514358647,1294,887,False,False,1.0657713489153184
feature_567,273,0.1742182514358647,1294,619,False,False,0.001072450433244388
feature_568,273,0.1742182514358647,1294,887,False,False,0.9925319906022863
feature_569,273,0.1742182514358647,1294,897,False,False,104.23076966495172
feature_546,260,0.16592214422463306,1307,1047,False,False,0.15125638752883214
feature_547,260,0.16592214422463306,1307,1023,False,False,25.623334229597653
feature_548,260,0.16592214422463306,1307,964,False,False,11.4868530944189
feature_549,260,0.16592214422463306,1307,1048,False,False,0.45304760016286855
feature_550,260,0.16592214422463306,1307,747,False,False,24.651755742166394
feature_551,260,0.16592214422463306,1307,213,False,False,1.851222829575782
feature_552,260,0.16592214422463306,1307,973,False,False,0.07624498895287515
feature_553,260,0.16592214422463306,1307,1077,False,False,4.804023693943411
feature_554,260,0.16592214422463306,1307,1000,False,False,0.3583493285040296
feature_555,260,0.16592214422463306,1307,1085,False,False,1238.6233271904919
feature_556,260,0.16592214422463306,1307,1070,False,False,1.637167983093624
feature_557,260,0.16592214422463306,1307,1062,False,False,3.495844490944376
feature_089,51,0.03254626675175495,1516,650,False,False,0.0027411076214790696
feature_090,51,0.03254626675175495,1516,1513,False,False,156960.91401320792
feature_224,51,0.03254626675175495,1516,720,False,False,0.005067696356263182
feature_225,51,0.03254626675175495,1516,1472,False,False,187512.54391550785
feature_362,51,0.03254626675175495,1516,389,False,False,0.00046815611313535125
feature_363,51,0.03254626675175495,1516,1516,False,False,19253.266772194384
feature_496,51,0.03254626675175495,1516,1510,False,False,605.8226293800665
feature_497,51,0.03254626675175495,1516,1509,False,False,24.552143233905273
feature_040,24,0.015315890236119975,1543,291,False,False,578.649966855021
feature_041,24,0.015315890236119975,1543,315,False,False,5.56799524253666
feature_075,24,0.015315890236119975,1543,675,False,False,0.0004966186491793474
feature_076,24,0.015315890236119975,1543,891,False,False,0.0011017432728157057
feature_077,24,0.015315890236119975,1543,842,False,False,0.0009833283497861476
feature_078,24,0.015315890236119975,1543,995,False,False,0.0022902719977537424
feature_079,24,0.015315890236119975,1543,691,False,False,0.0005323249193039962
feature_080,24,0.015315890236119975,1543,922,False,False,0.00242163047812776
feature_081,24,0.015315890236119975,1543,580,False,False,0.00028953091400588614
feature_082,24,0.015315890236119975,1543,888,False,False,0.001300512404768215
feature_118,24,0.015315890236119975,1543,328,False,False,6.55920479711229e-05
feature_178,24,0.015315890236119975,1543,1,False,True,0.0
feature_210,24,0.015315890236119975,1543,798,False,False,0.001768278751285781
feature_211,24,0.015315890236119975,1543,653,False,False,0.0006248519893533778
feature_212,24,0.015315890236119975,1543,681,False,False,0.0009965013493337881
