feature,folds_retained,top_k_count,mean_standardized_coefficient,mean_absolute_coefficient,coefficient_std,positive_sign_fraction,sign_consistency,retained_frequency,top_k_frequency
feature_059,15,15,1.3094166170626083,1.3094166170626083,0.28352160406076665,1.0,1.0,1.0,1.0
feature_216,15,14,0.9883024792228275,0.9883024792228275,0.2133817279085867,1.0,1.0,1.0,0.9333333333333333
feature_132,15,13,-0.9573495190615737,0.9573495190615737,0.1938775865433755,0.0,1.0,1.0,0.8666666666666667
feature_205,15,11,0.7903467512401868,0.7903467512401868,0.17357781023217875,1.0,1.0,1.0,0.7333333333333333
feature_056,15,9,0.7874807139334297,0.7874807139334297,0.35026811560028837,1.0,1.0,1.0,0.6
feature_129,15,8,0.8134700855428149,0.8134700855428149,0.2236704612407902,1.0,1.0,1.0,0.5333333333333333
feature_078,15,8,-0.7299823403415867,0.7299823403415867,0.32022041304609095,0.0,1.0,1.0,0.5333333333333333
feature_075,15,8,0.6368444762269821,0.6368444762269821,0.21411524430057666,1.0,1.0,1.0,0.5333333333333333
feature_030,15,7,-0.6630443030131107,0.6630443030131107,0.20923267365821194,0.0,1.0,1.0,0.4666666666666667
feature_305,15,7,-0.6600559906919419,0.6600559906919419,0.2578086641650946,0.0,1.0,1.0,0.4666666666666667
feature_040,15,7,-0.6121282866768265,0.6121282866768265,0.25232753406112685,0.0,1.0,1.0,0.4666666666666667
feature_415,15,6,-0.6767690954461295,0.6767690954461295,0.13962178475849624,0.0,1.0,1.0,0.4
feature_425,15,6,0.6339110005329098,0.6588844961213215,0.3846850550994457,0.9333333333333333,0.9333333333333333,1.0,0.4
feature_061,15,6,0.6303548373626764,0.6303548373626764,0.24762518544861764,1.0,1.0,1.0,0.4
feature_021,15,6,0.6089375651828947,0.6089375651828947,0.30034306569353536,1.0,1.0,1.0,0.4
feature_277,15,5,0.6684219026869485,0.6684219026869485,0.18793096157244757,1.0,1.0,1.0,0.3333333333333333
feature_022,15,5,-0.6186105688625629,0.6186105688625629,0.29372226937496,0.0,1.0,1.0,0.3333333333333333
feature_025,15,5,0.6051174913495536,0.6051174913495536,0.20977422007413685,1.0,1.0,1.0,0.3333333333333333
feature_348,15,5,0.578415431700262,0.578415431700262,0.21340425729807017,1.0,1.0,1.0,0.3333333333333333
feature_041,15,5,-0.51481573334916,0.51481573334916,0.2923947457906378,0.0,1.0,1.0,0.3333333333333333
feature_124,15,4,-0.6392303371413296,0.6392303371413296,0.2871592811380209,0.0,1.0,1.0,0.26666666666666666
feature_563,15,4,-0.6275626991947639,0.6275626991947639,0.2539533077671039,0.0,1.0,1.0,0.26666666666666666
feature_142,15,4,-0.5704472414932588,0.5704472414932588,0.18233571369025456,0.0,1.0,1.0,0.26666666666666666
