feature,top_k_count,mean_ap_drop,ap_drop_std_across_folds,top_k_frequency
feature_033,4,0.013397438242269372,0.01332072181373725,0.8
feature_059,3,0.010180335321113832,0.013767145876719044,0.6
feature_103,3,0.008938893704896913,0.005273160617521747,0.6
feature_031,3,0.004199068704416217,0.0074176064546379395,0.6
feature_477,2,0.007999044008342235,0.009978082552686202,0.4
feature_307,2,0.007761893959630646,0.005774193966455953,0.4
feature_341,2,0.006328874759632799,0.011411009876356293,0.4
feature_174,2,0.0055182501924302,0.004985497846529088,0.4
feature_309,2,0.005501056593757261,0.00774707051498037,0.4
feature_205,2,0.005335792696020061,0.007748260641018905,0.4
feature_014,2,0.005222999587157314,0.00548321513749621,0.4
feature_323,2,0.005031161186819009,0.005303663422693467,0.4
feature_152,2,0.004384381446572184,0.007302515009067244,0.4
feature_587,2,0.004217544408616167,0.004334402051088798,0.4
feature_081,2,0.0028347196848319115,0.008632428269928522,0.4
feature_130,2,0.0022060814152693787,0.009585423275847854,0.4
feature_180,2,0.002161675665586502,0.0077649166216196995,0.4
feature_563,2,0.0007495689201534135,0.007328674541997187,0.4
feature_510,2,0.0004894080989263104,0.010799989715841746,0.4
feature_127,1,0.0056658072126108865,0.006378852196265898,0.2
feature_125,1,0.005597589991607358,0.011129196903707289,0.2
feature_115,1,0.005569861649073046,0.012847713806891536,0.2
feature_053,1,0.0040572348629279165,0.00998199879679146,0.2
feature_076,1,0.004038455703621935,0.004776756641197627,0.2
feature_122,1,0.0038915314020259105,0.005046320370391076,0.2
feature_131,1,0.0038723468769887104,0.0050362453269637,0.2
feature_021,1,0.0036748545338718187,0.0031951679307831594,0.2
feature_038,1,0.0035039027749887617,0.006986918487590798,0.2
feature_541,1,0.0031830021614335366,0.008359935624586503,0.2
feature_111,1,0.0030988942177064107,0.006781135670023539,0.2
feature_585,1,0.0030843950937260094,0.0074567116082848925,0.2
feature_285,1,0.00260458420263955,0.004919342272261462,0.2
feature_500,1,0.0025243485290525336,0.003363128227005105,0.2
feature_172,1,0.0024803978336911817,0.007582159799890544,0.2
feature_017,1,0.002458507321918176,0.00702854908878773,0.2
feature_524,1,0.002412856444356145,0.0044161916970162675,0.2
feature_446,1,0.002399382225036859,0.005721948309062927,0.2
feature_270,1,0.002343413473826431,0.004703025780673002,0.2
feature_391,1,0.0022915558121590594,0.007739167035802856,0.2
feature_274,1,0.0022180848836175103,0.007407697109246556,0.2
feature_197,1,0.0021967407349214466,0.008420316543015213,0.2
feature_019,1,0.0020930270267406916,0.008045045233942979,0.2
feature_385,1,0.0020450703749489785,0.005735369670104761,0.2
feature_290,1,0.0019191338167608412,0.007922571143688321,0.2
feature_010,1,0.0019143460785251826,0.00546901747615657,0.2
feature_132,1,0.0017455668302474709,0.004587104733334131,0.2
feature_039,1,0.0016878441567407994,0.005108823005406228,0.2
feature_090,1,0.0016412519173308513,0.004916052979990498,0.2
feature_346,1,0.0015350561673060834,0.00791977137677324,0.2
feature_091,1,0.0014880858556995948,0.005313133567296866,0.2
feature_040,1,0.0014032741106856522,0.0076608345039250745,0.2
feature_479,1,0.001299973804127843,0.0047997930186923264,0.2
feature_272,1,0.0011381497393308274,0.003651405106927012,0.2
feature_175,1,0.0011374335381591938,0.0029992528019236733,0.2
feature_137,1,0.0011090475976085405,0.0030228849122273705,0.2
feature_589,1,0.0009918531177940135,0.005062163434651655,0.2
feature_560,1,0.0009588703632227396,0.002602345661952554,0.2
feature_169,1,0.0008946940201067568,0.002397203983095524,0.2
feature_488,1,0.0008036994516935477,0.0027388838032735324,0.2
feature_163,1,0.0007942913793147525,0.0031741877911111594,0.2
feature_294,1,0.0007679470333854003,0.0021175508958246763,0.2
feature_447,1,0.0004216897699386695,0.004125636132439186,0.2
feature_577,1,0.00033584823583146343,0.006661849817909398,0.2
feature_345,1,0.00027323966275364964,0.005951579052100109,0.2
feature_065,1,0.00026138590098874584,0.008219498280725848,0.2
feature_286,1,0.00021773080585400298,0.007768573947186099,0.2
feature_078,1,6.271191672954681e-05,0.0060448638926038235,0.2
feature_195,1,-0.00019929869162916837,0.002907409454298445,0.2
feature_102,1,-0.00046141022345965176,0.00442655772144333,0.2
feature_126,1,-0.0007065917157877559,0.006691752186482361,0.2
feature_064,1,-0.0008206718584541715,0.01515760796266419,0.2
feature_441,1,-0.001119693804970114,0.008351138681865766,0.2
feature_452,1,-0.001541061063203299,0.008120260994618985,0.2
feature_247,1,-0.0024251638183366655,0.006625687999530448,0.2
feature_213,1,-0.00399460476477735,0.010386288253868297,0.2
feature_351,1,-0.006773517870162918,0.012921932229829755,0.2
