sample_id,timestamp,label,split
sample_0000,2008-07-19 11:55:00,PASS,train
sample_0001,2008-07-19 12:32:00,PASS,test
sample_0002,2008-07-19 13:17:00,FAIL,train
sample_0003,2008-07-19 14:43:00,PASS,train
sample_0004,2008-07-19 15:22:00,PASS,train
sample_0005,2008-07-19 17:53:00,PASS,train
sample_0006,2008-07-19 19:44:00,PASS,train
sample_0007,2008-07-19 19:45:00,PASS,train
sample_0008,2008-07-19 20:24:00,PASS,train
sample_0009,2008-07-19 21:35:00,PASS,test
sample_0010,2008-07-19 21:57:00,FAIL,train
sample_0011,2008-07-19 22:52:00,FAIL,test
sample_0012,2008-07-20 03:35:00,PASS,train
sample_0013,2008-07-21 08:21:00,PASS,train
sample_0014,2008-07-21 11:53:00,FAIL,train
sample_0015,2008-07-22 00:03:00,PASS,train
sample_0016,2008-07-22 02:59:00,PASS,train
sample_0017,2008-07-22 08:41:00,PASS,test
sample_0018,2008-07-22 11:47:00,PASS,test
sample_0019,2008-07-22 14:00:00,PASS,train
sample_0020,2008-07-22 15:30:00,PASS,train
sample_0021,2008-07-23 05:15:00,PASS,train
sample_0022,2008-07-23 19:22:00,PASS,train
sample_0023,2008-07-25 15:23:00,FAIL,test
sample_0024,2008-07-27 04:18:00,PASS,train
sample_0025,2008-07-27 09:37:00,PASS,test
sample_0026,2008-07-27 11:10:00,PASS,test
sample_0027,2008-07-27 15:46:00,PASS,train
sample_0028,2008-07-27 16:06:00,PASS,train
sample_0029,2008-07-27 16:49:00,PASS,train
sample_0030,2008-07-27 20:24:00,PASS,train
sample_0031,2008-07-27 22:28:00,PASS,test
sample_0032,2008-07-27 22:28:00,PASS,train
sample_0033,2008-07-27 23:14:00,PASS,train
sample_0034,2008-07-28 03:31:00,PASS,train
sample_0035,2008-07-28 03:48:00,PASS,train
sample_0036,2008-07-28 04:37:00,PASS,train
sample_0037,2008-07-28 05:36:00,PASS,train
sample_0038,2008-07-28 06:45:00,FAIL,train
sample_0039,2008-07-28 08:36:00,PASS,train
sample_0040,2008-07-28 15:11:00,FAIL,train
sample_0041,2008-07-28 23:57:00,PASS,test
sample_0042,2008-07-29 04:08:00,PASS,train
sample_0043,2008-07-29 05:16:00,PASS,train
sample_0044,2008-07-29 06:19:00,PASS,test
sample_0045,2008-07-29 08:23:00,FAIL,train
sample_0046,2008-07-29 11:47:00,PASS,train
sample_0047,2008-07-29 15:41:00,PASS,train
sample_0048,2008-07-29 15:49:00,FAIL,test
sample_0049,2008-07-29 17:05:00,FAIL,train
sample_0050,2008-07-29 18:08:00,FAIL,test
sample_0051,2008-07-29 21:07:00,PASS,test
sample_0052,2008-07-29 23:14:00,PASS,train
sample_0053,2008-07-29 23:19:00,PASS,train
sample_0054,2008-07-30 06:30:00,PASS,train
sample_0055,2008-07-30 07:08:00,PASS,train
sample_0056,2008-07-30 12:02:00,PASS,train
sample_0057,2008-07-30 12:29:00,FAIL,train
sample_0058,2008-07-30 21:16:00,FAIL,test
sample_0059,2008-07-31 13:57:00,PASS,train
sample_0060,2008-07-31 15:36:00,PASS,train
sample_0061,2008-07-31 17:07:00,PASS,train
sample_0062,2008-07-31 20:18:00,FAIL,test
sample_0063,2008-08-01 02:02:00,PASS,train
sample_0064,2008-08-01 05:52:00,FAIL,train
sample_0065,2008-08-01 10:20:00,PASS,train
sample_0066,2008-08-01 10:26:00,PASS,train
sample_0067,2008-08-01 11:28:00,PASS,train
sample_0068,2008-08-01 12:29:00,PASS,test
sample_0069,2008-08-01 14:07:00,PASS,train
sample_0070,2008-08-01 15:10:00,PASS,train
sample_0071,2008-08-02 03:39:00,PASS,train
sample_0072,2008-08-03 13:09:00,PASS,train
sample_0073,2008-08-03 14:06:00,PASS,train
sample_0074,2008-08-03 14:25:00,PASS,train
sample_0075,2008-08-03 15:03:00,PASS,train
sample_0076,2008-08-03 15:27:00,PASS,train
sample_0077,2008-08-03 16:00:00,PASS,train
sample_0078,2008-08-03 17:00:00,PASS,train
sample_0079,2008-08-03 17:58:00,PASS,test
sample_0080,2008-08-03 20:23:00,PASS,train
sample_0081,2008-08-03 22:52:00,PASS,train
sample_0082,2008-08-04 00:39:00,FAIL,train
sample_0083,2008-08-04 03:45:00,PASS,train
sample_0084,2008-08-04 03:49:00,PASS,train
sample_0085,2008-08-04 13:19:00,PASS,train
sample_0086,2008-08-04 14:04:00,PASS,train
sample_0087,2008-08-04 14:31:00,PASS,train
sample_0088,2008-08-04 15:29:00,PASS,train
sample_0089,2008-08-04 16:15:00,PASS,train
sample_0090,2008-08-04 16:31:00,PASS,train
sample_0091,2008-08-04 17:11:00,PASS,train
sample_0092,2008-08-04 17:46:00,PASS,train
sample_0093,2008-08-04 18:24:00,PASS,train
sample_0094,2008-08-04 19:58:00,PASS,train
sample_0095,2008-08-04 20:32:00,PASS,train
sample_0096,2008-08-04 20:58:00,FAIL,test
sample_0097,2008-08-04 21:43:00,PASS,train
sample_0098,2008-08-04 22:51:00,PASS,train
sample_0099,2008-08-04 23:33:00,PASS,train
sample_0100,2008-08-05 00:04:00,PASS,train
sample_0101,2008-08-05 01:12:00,PASS,train
sample_0102,2008-08-05 02:15:00,PASS,train
sample_0103,2008-08-05 02:36:00,PASS,train
sample_0104,2008-08-05 02:45:00,PASS,test
sample_0105,2008-08-05 03:17:00,PASS,train
sample_0106,2008-08-05 03:36:00,PASS,train
sample_0107,2008-08-05 03:54:00,PASS,train
sample_0108,2008-08-05 04:32:00,PASS,test
sample_0109,2008-08-05 04:35:00,PASS,train
sample_0110,2008-08-05 05:11:00,PASS,train
sample_0111,2008-08-05 06:10:00,PASS,train
sample_0112,2008-08-05 06:11:00,PASS,test
sample_0113,2008-08-05 06:21:00,PASS,train
sample_0114,2008-08-05 07:12:00,PASS,train
sample_0115,2008-08-05 07:12:00,FAIL,train
sample_0116,2008-08-05 07:48:00,PASS,test
sample_0117,2008-08-05 08:50:00,PASS,train
sample_0118,2008-08-05 09:48:00,PASS,train
sample_0119,2008-08-05 14:17:00,PASS,train
sample_0120,2008-08-05 14:45:00,PASS,train
sample_0121,2008-08-05 15:45:00,PASS,test
sample_0122,2008-08-05 20:04:00,PASS,train
sample_0123,2008-08-05 21:07:00,PASS,train
sample_0124,2008-08-05 21:22:00,PASS,train
sample_0125,2008-08-05 23:02:00,PASS,train
sample_0126,2008-08-05 23:06:00,PASS,train
sample_0127,2008-08-05 23:38:00,PASS,train
sample_0128,2008-08-06 00:04:00,PASS,train
sample_0129,2008-08-06 02:20:00,PASS,train
sample_0130,2008-08-06 03:22:00,PASS,test
sample_0131,2008-08-06 05:40:00,FAIL,train
sample_0132,2008-08-06 09:56:00,PASS,train
sample_0133,2008-08-06 09:57:00,PASS,train
sample_0134,2008-08-06 12:33:00,PASS,train
sample_0135,2008-08-06 13:35:00,PASS,train
sample_0136,2008-08-06 17:35:00,PASS,train
sample_0137,2008-08-06 18:00:00,PASS,train
sample_0138,2008-08-06 18:34:00,PASS,train
sample_0139,2008-08-06 19:13:00,PASS,train
sample_0140,2008-08-06 19:24:00,PASS,test
sample_0141,2008-08-06 20:00:00,PASS,test
sample_0142,2008-08-06 20:17:00,PASS,train
sample_0143,2008-08-06 21:15:00,PASS,train
sample_0144,2008-08-06 22:27:00,PASS,train
sample_0145,2008-08-06 23:40:00,PASS,train
sample_0146,2008-08-06 23:45:00,PASS,train
sample_0147,2008-08-07 00:51:00,PASS,train
sample_0148,2008-08-07 07:30:00,PASS,train
sample_0149,2008-08-07 08:21:00,PASS,test
sample_0150,2008-08-07 08:45:00,PASS,train
sample_0151,2008-08-07 08:55:00,PASS,train
sample_0152,2008-08-07 10:12:00,PASS,train
sample_0153,2008-08-07 11:10:00,PASS,test
sample_0154,2008-08-07 11:40:00,FAIL,test
sample_0155,2008-08-08 04:55:00,PASS,train
sample_0156,2008-08-08 07:26:00,PASS,train
sample_0157,2008-08-08 08:44:00,FAIL,train
sample_0158,2008-08-08 12:37:00,FAIL,train
sample_0159,2008-08-08 20:21:00,PASS,train
sample_0160,2008-08-08 21:22:00,PASS,train
sample_0161,2008-08-08 21:53:00,PASS,train
sample_0162,2008-08-08 22:06:00,PASS,train
sample_0163,2008-08-08 22:25:00,PASS,train
sample_0164,2008-08-09 02:15:00,PASS,train
sample_0165,2008-08-09 02:37:00,PASS,test
sample_0166,2008-08-09 06:05:00,PASS,train
sample_0167,2008-08-09 09:16:00,FAIL,train
sample_0168,2008-08-09 09:22:00,PASS,train
sample_0169,2008-08-09 11:42:00,FAIL,train
sample_0170,2008-08-09 17:34:00,PASS,test
sample_0171,2008-08-09 19:03:00,PASS,train
sample_0172,2008-08-09 20:04:00,PASS,train
sample_0173,2008-08-09 21:07:00,PASS,train
sample_0174,2008-08-09 22:15:00,PASS,test
sample_0175,2008-08-09 22:37:00,PASS,test
sample_0176,2008-08-09 23:17:00,PASS,test
sample_0177,2008-08-09 23:34:00,PASS,train
sample_0178,2008-08-10 00:09:00,PASS,train
sample_0179,2008-08-10 00:46:00,PASS,train
sample_0180,2008-08-10 06:00:00,FAIL,train
sample_0181,2008-08-10 06:41:00,PASS,train
sample_0182,2008-08-10 07:01:00,FAIL,train
sample_0183,2008-08-10 11:16:00,PASS,train
sample_0184,2008-08-10 11:49:00,PASS,train
sample_0185,2008-08-10 12:22:00,PASS,train
sample_0186,2008-08-10 15:59:00,FAIL,train
sample_0187,2008-08-10 19:07:00,PASS,test
sample_0188,2008-08-10 20:07:00,FAIL,train
sample_0189,2008-08-10 22:26:00,FAIL,train
sample_0190,2008-08-11 03:06:00,PASS,test
sample_0191,2008-08-11 04:09:00,PASS,train
sample_0192,2008-08-11 05:15:00,PASS,train
sample_0193,2008-08-11 11:35:00,PASS,train
sample_0194,2008-08-11 12:38:00,PASS,train
sample_0195,2008-08-12 04:23:00,PASS,test
sample_0196,2008-08-12 06:16:00,PASS,train
sample_0197,2008-08-12 10:54:00,PASS,train
sample_0198,2008-08-12 11:29:00,PASS,train
sample_0199,2008-08-12 12:04:00,PASS,train
sample_0200,2008-08-13 02:48:00,PASS,train
sample_0201,2008-08-15 03:26:00,PASS,train
sample_0202,2008-08-15 04:14:00,PASS,train
sample_0203,2008-08-15 05:13:00,PASS,train
sample_0204,2008-08-15 09:38:00,PASS,train
sample_0205,2008-08-15 10:14:00,PASS,train
sample_0206,2008-08-15 11:42:00,PASS,train
sample_0207,2008-08-15 18:19:00,PASS,train
sample_0208,2008-08-15 19:19:00,PASS,train
sample_0209,2008-08-15 20:00:00,PASS,train
sample_0210,2008-08-15 20:03:00,PASS,train
sample_0211,2008-08-15 23:31:00,PASS,train
sample_0212,2008-08-16 02:21:00,PASS,train
sample_0213,2008-08-16 05:47:00,PASS,train
sample_0214,2008-08-16 06:52:00,PASS,train
sample_0215,2008-08-16 07:33:00,PASS,test
sample_0216,2008-08-16 08:39:00,PASS,test
sample_0217,2008-08-16 08:41:00,PASS,train
sample_0218,2008-08-16 09:44:00,FAIL,train
sample_0219,2008-08-16 13:51:00,PASS,test
sample_0220,2008-08-16 14:30:00,PASS,train
sample_0221,2008-08-16 15:16:00,PASS,train
sample_0222,2008-08-16 15:19:00,FAIL,train
sample_0223,2008-08-16 23:48:00,PASS,train
sample_0224,2008-08-17 00:52:00,PASS,train
sample_0225,2008-08-17 01:53:00,PASS,train
sample_0226,2008-08-17 03:17:00,PASS,train
sample_0227,2008-08-17 03:18:00,PASS,train
sample_0228,2008-08-17 03:46:00,PASS,test
sample_0229,2008-08-17 04:19:00,PASS,train
sample_0230,2008-08-17 05:21:00,PASS,train
sample_0231,2008-08-17 12:16:00,FAIL,test
sample_0232,2008-08-17 13:34:00,PASS,test
sample_0233,2008-08-17 14:21:00,PASS,test
sample_0234,2008-08-17 15:25:00,PASS,test
sample_0235,2008-08-17 21:26:00,FAIL,train
sample_0236,2008-08-17 22:03:00,FAIL,train
sample_0237,2008-08-17 22:21:00,PASS,train
sample_0238,2008-08-17 23:04:00,FAIL,test
sample_0239,2008-08-17 23:20:00,PASS,train
sample_0240,2008-08-17 23:55:00,FAIL,train
sample_0241,2008-08-18 00:02:00,FAIL,train
sample_0242,2008-08-18 00:20:00,PASS,test
sample_0243,2008-08-18 01:23:00,FAIL,train
sample_0244,2008-08-18 04:01:00,FAIL,train
sample_0245,2008-08-18 04:12:00,PASS,test
sample_0246,2008-08-18 04:35:00,PASS,test
sample_0247,2008-08-18 05:03:00,PASS,train
sample_0248,2008-08-18 05:25:00,PASS,train
sample_0249,2008-08-18 06:07:00,PASS,train
sample_0250,2008-08-18 06:11:00,PASS,train
sample_0251,2008-08-18 06:26:00,PASS,train
sample_0252,2008-08-18 07:11:00,PASS,train
sample_0253,2008-08-18 07:23:00,PASS,train
sample_0254,2008-08-18 07:29:00,PASS,train
sample_0255,2008-08-18 08:18:00,PASS,test
sample_0256,2008-08-18 08:31:00,PASS,train
sample_0257,2008-08-18 10:13:00,PASS,train
sample_0258,2008-08-18 11:04:00,PASS,test
sample_0259,2008-08-18 12:00:00,PASS,train
sample_0260,2008-08-18 12:06:00,PASS,train
sample_0261,2008-08-18 12:22:00,PASS,train
sample_0262,2008-08-18 12:49:00,PASS,train
sample_0263,2008-08-18 13:07:00,PASS,train
sample_0264,2008-08-18 14:01:00,PASS,test
sample_0265,2008-08-18 14:04:00,PASS,train
sample_0266,2008-08-18 14:45:00,PASS,train
sample_0267,2008-08-18 15:00:00,PASS,train
sample_0268,2008-08-18 15:26:00,PASS,test
sample_0269,2008-08-18 15:30:00,PASS,test
sample_0270,2008-08-18 15:33:00,PASS,train
sample_0271,2008-08-18 15:41:00,PASS,train
sample_0272,2008-08-18 16:19:00,PASS,train
sample_0273,2008-08-18 17:13:00,FAIL,train
sample_0274,2008-08-18 17:16:00,PASS,train
sample_0275,2008-08-18 17:37:00,PASS,train
sample_0276,2008-08-18 19:24:00,PASS,train
sample_0277,2008-08-18 19:54:00,FAIL,train
sample_0278,2008-08-18 23:00:00,PASS,train
sample_0279,2008-08-18 23:03:00,PASS,train
sample_0280,2008-08-18 23:47:00,PASS,train
sample_0281,2008-08-19 01:10:00,PASS,train
sample_0282,2008-08-19 03:59:00,FAIL,train
sample_0283,2008-08-19 04:58:00,PASS,test
sample_0284,2008-08-19 05:09:00,PASS,train
sample_0285,2008-08-19 05:11:00,PASS,train
sample_0286,2008-08-19 05:11:00,PASS,train
sample_0287,2008-08-19 05:40:00,PASS,train
sample_0288,2008-08-19 05:41:00,PASS,test
sample_0289,2008-08-19 05:53:00,PASS,train
sample_0290,2008-08-19 05:54:00,PASS,train
sample_0291,2008-08-19 05:56:00,FAIL,train
