feature,logistic_top20_count,logistic_top20_frequency,mean_absolute_coefficient,sign_consistency,rf_positive_top20_count,rf_positive_top20_frequency,mean_ap_drop,logistic_meets_2_of_3,rf_meets_2_of_3,meets_both_methods_2_of_3,temporal_evidence_count_sum
feature_562,3,1.0,0.652842563805207,1.0,1,0.3333333333333333,0.014061714899948856,True,False,False,4
feature_008,3,1.0,0.7118430015496336,1.0,0,0.0,-0.0016339051438495407,True,False,False,3
feature_249,3,1.0,0.5981880678341652,1.0,0,0.0,0.0,True,False,False,3
feature_280,3,1.0,0.5888637879464658,1.0,0,0.0,-0.0011571967144772821,True,False,False,3
feature_387,3,1.0,0.5730161970178301,1.0,0,0.0,0.0,True,False,False,3
feature_588,2,0.6666666666666666,0.49476040664400106,1.0,1,0.3333333333333333,0.0013454553324870864,True,False,False,3
feature_000,2,0.6666666666666666,0.636058854214765,1.0,0,0.0,-0.001215482380658591,True,False,False,2
feature_433,2,0.6666666666666666,0.6161922536071526,1.0,0,0.0,-0.0001211872382277595,True,False,False,2
feature_216,2,0.6666666666666666,0.5671745493581893,1.0,0,0.0,-0.0009132002916620138,True,False,False,2
feature_075,2,0.6666666666666666,0.5562496082926773,1.0,0,0.0,7.202556166173203e-05,True,False,False,2
feature_205,2,0.6666666666666666,0.5402987548616908,1.0,0,0.0,-0.0027544069357084786,True,False,False,2
feature_363,2,0.6666666666666666,0.4789119580689256,1.0,0,0.0,-0.00032720980551220286,True,False,False,2
feature_301,1,0.3333333333333333,0.4392707315125112,1.0,1,0.3333333333333333,0.008311164585491642,False,False,False,2
feature_541,1,0.3333333333333333,0.42572477605894776,1.0,1,0.3333333333333333,0.012577845477746832,False,False,False,2
feature_197,1,0.3333333333333333,0.4080846213122504,1.0,1,0.3333333333333333,0.012525709095670183,False,False,False,2
feature_059,1,0.3333333333333333,0.37470292189548404,1.0,1,0.3333333333333333,0.018978059447673546,False,False,False,2
feature_115,1,0.3333333333333333,0.3689934346747012,1.0,1,0.3333333333333333,0.005898418194666628,False,False,False,2
feature_103,1,0.3333333333333333,0.3598429490167229,1.0,1,0.3333333333333333,0.0018850361540970705,False,False,False,2
feature_047,1,0.3333333333333333,0.3486660641825819,0.6666666666666666,1,0.3333333333333333,0.002089211587393788,False,False,False,2
feature_039,0,0.0,0.2736152211604794,1.0,2,0.6666666666666666,0.004498615953663644,False,True,False,2
feature_251,0,0.0,0.24111620606133602,0.6666666666666667,2,0.6666666666666666,0.00867474676894763,False,True,False,2
feature_163,0,0.0,0.07364557316087271,1.0,2,0.6666666666666666,0.010711847045231567,False,True,False,2
feature_219,0,0.0,0.06686270601355074,1.0,2,0.6666666666666666,0.0019635474004182853,False,True,False,2
feature_089,1,0.3333333333333333,0.498134619498928,1.0,0,0.0,0.00038317440419959357,False,False,False,1
feature_086,1,0.3333333333333333,0.4900501092148552,1.0,0,0.0,-0.0028184503020051103,False,False,False,1
feature_113,1,0.3333333333333333,0.4862285616531663,1.0,0,0.0,6.87102557051966e-05,False,False,False,1
feature_078,1,0.3333333333333333,0.4601151684674207,1.0,0,0.0,-5.082729109825218e-05,False,False,False,1
feature_116,1,0.3333333333333333,0.4453867753830425,1.0,0,0.0,-0.00030866447865889046,False,False,False,1
feature_213,1,0.3333333333333333,0.4447131374180528,1.0,0,0.0,0.00045737697991499415,False,False,False,1
feature_269,1,0.3333333333333333,0.44019618614060124,1.0,0,0.0,0.0005434905498584672,False,False,False,1
feature_145,1,0.3333333333333333,0.4335742954797077,1.0,0,0.0,-0.0004603524921218459,False,False,False,1
feature_056,1,0.3333333333333333,0.4182255334696939,1.0,0,0.0,-0.0003582134963057958,False,False,False,1
feature_009,1,0.3333333333333333,0.41662059363531956,1.0,0,0.0,-0.0006374996506617911,False,False,False,1
feature_133,1,0.3333333333333333,0.4117752037922637,1.0,0,0.0,-0.0003661502938805536,False,False,False,1
feature_081,1,0.3333333333333333,0.4100697462285547,1.0,0,0.0,-0.0008024875555961183,False,False,False,1
feature_476,1,0.3333333333333333,0.40981157174703703,1.0,0,0.0,0.004144011246331197,False,False,False,1
feature_060,1,0.3333333333333333,0.40830539333301674,1.0,0,0.0,-5.953656499664947e-05,False,False,False,1
feature_333,1,0.3333333333333333,0.4048167097657889,1.0,0,0.0,0.00023307515112169853,False,False,False,1
feature_021,0,0.0,0.401364785864855,1.0,1,0.3333333333333333,0.012905755380748271,False,False,False,1
feature_305,1,0.3333333333333333,0.3891825443666231,1.0,0,0.0,1.7865163455347648e-06,False,False,False,1
feature_407,1,0.3333333333333333,0.3349301356368659,0.6666666666666667,0,0.0,-0.0003291988770188137,False,False,False,1
feature_341,0,0.0,0.33334754025554747,1.0,1,0.3333333333333333,0.0019764964939567907,False,False,False,1
feature_419,1,0.3333333333333333,0.30993359322649394,1.0,0,0.0,0.0006509214001452367,False,False,False,1
feature_014,0,0.0,0.29218449239783284,1.0,1,0.3333333333333333,0.0006156236735585858,False,False,False,1
feature_270,0,0.0,0.2861344444278107,1.0,1,0.3333333333333333,0.009932768772762056,False,False,False,1
feature_218,0,0.0,0.28518252512877984,1.0,1,0.3333333333333333,0.011929102686025948,False,False,False,1
feature_126,1,0.3333333333333333,0.2771646579822177,0.6666666666666666,0,0.0,-0.0004171474355452014,False,False,False,1
feature_431,0,0.0,0.2697980718539598,1.0,1,0.3333333333333333,0.00029326541959465467,False,False,False,1
feature_309,0,0.0,0.24833546232855852,1.0,1,0.3333333333333333,-0.0008928430244563732,False,False,False,1
feature_544,1,0.3333333333333333,0.2367915188590386,0.6666666666666667,0,0.0,-0.0002696756824615519,False,False,False,1
feature_345,1,0.3333333333333333,0.2348056204065929,1.0,0,0.0,3.0317759628488585e-05,False,False,False,1
feature_573,0,0.0,0.23038940181069878,1.0,1,0.3333333333333333,0.0007052346389662037,False,False,False,1
feature_351,0,0.0,0.21273025946376653,1.0,1,0.3333333333333333,0.0006322831810574187,False,False,False,1
feature_175,0,0.0,0.2091420888438101,1.0,1,0.3333333333333333,0.006381911722672387,False,False,False,1
feature_446,0,0.0,0.20028974674154554,1.0,1,0.3333333333333333,0.008344040251330525,False,False,False,1
feature_037,1,0.3333333333333333,0.19915098273822118,1.0,0,0.0,-0.0005504522189142108,False,False,False,1
feature_589,0,0.0,0.19856440996615335,0.6666666666666666,1,0.3333333333333333,0.0013059015027547772,False,False,False,1
feature_250,0,0.0,0.1946206773446292,1.0,1,0.3333333333333333,0.0003679299984066735,False,False,False,1
feature_131,0,0.0,0.19194580722505292,1.0,1,0.3333333333333333,0.012996006647065845,False,False,False,1
feature_456,0,0.0,0.18671947473843906,1.0,1,0.3333333333333333,0.012031132019545886,False,False,False,1
feature_107,0,0.0,0.18243227905674805,0.6666666666666666,1,0.3333333333333333,0.00043590404389568264,False,False,False,1
feature_252,0,0.0,0.18134529683214443,1.0,1,0.3333333333333333,0.00935445456846922,False,False,False,1
feature_114,1,0.3333333333333333,0.1736657099992838,0.6666666666666667,0,0.0,1.3180539393372542e-05,False,False,False,1
feature_390,0,0.0,0.16137144539392576,0.6666666666666667,1,0.3333333333333333,0.0005519813935051697,False,False,False,1
feature_001,0,0.0,0.15989325616282982,0.6666666666666667,1,0.3333333333333333,0.01142951202139604,False,False,False,1
feature_490,0,0.0,0.158932516959151,1.0,1,0.3333333333333333,0.013520853085124929,False,False,False,1
feature_278,0,0.0,0.15868001413585014,1.0,1,0.3333333333333333,-0.0005686154611378377,False,False,False,1
feature_112,1,0.3333333333333333,0.1464960846350286,1.0,0,0.0,-0.00032357803753091,False,False,False,1
feature_202,0,0.0,0.14600516863939628,0.6666666666666667,1,0.3333333333333333,-0.00227157789049826,False,False,False,1
feature_308,0,0.0,0.11950048866319692,1.0,1,0.3333333333333333,0.0005547830110089878,False,False,False,1
feature_418,0,0.0,0.10965691683611413,1.0,1,0.3333333333333333,0.0006608731960329284,False,False,False,1
feature_392,0,0.0,0.10932905952782862,1.0,1,0.3333333333333333,0.0005556535408595255,False,False,False,1
feature_135,0,0.0,0.10017627663559742,1.0,1,0.3333333333333333,0.010720005693807759,False,False,False,1
feature_434,0,0.0,0.09067069864112982,1.0,1,0.3333333333333333,0.0010309495023483482,False,False,False,1
feature_519,0,0.0,0.08966465176897138,1.0,1,0.3333333333333333,0.009731481823784579,False,False,False,1
feature_539,0,0.0,0.08851988168838058,1.0,1,0.3333333333333333,0.008182326700702222,False,False,False,1
feature_443,0,0.0,0.08703099797855825,1.0,1,0.3333333333333333,-0.002302337299070706,False,False,False,1
feature_125,0,0.0,0.08031050171157755,1.0,1,0.3333333333333333,0.004640583761261147,False,False,False,1
feature_437,0,0.0,0.07842808069211049,1.0,1,0.3333333333333333,0.01265950068667017,False,False,False,1
feature_152,0,0.0,0.07469890019578164,0.6666666666666667,1,0.3333333333333333,-0.0005970140072630827,False,False,False,1
feature_031,0,0.0,0.07129312329069264,0.6666666666666667,1,0.3333333333333333,0.006189856132109429,False,False,False,1
feature_584,0,0.0,0.0535557509985325,0.6666666666666666,1,0.3333333333333333,0.00018095841917187272,False,False,False,1
feature_445,0,0.0,0.050312368863617285,1.0,1,0.3333333333333333,-0.0012106005362045198,False,False,False,1
feature_166,0,0.0,0.043225940933313174,0.6666666666666666,1,0.3333333333333333,0.00840529254366525,False,False,False,1
feature_525,0,0.0,0.03995436195476101,1.0,1,0.3333333333333333,0.005003009031366419,False,False,False,1
feature_421,0,0.0,0.031661555899593526,0.6666666666666667,1,0.3333333333333333,0.00010668224710187898,False,False,False,1
feature_561,0,0.0,0.030731818384594684,0.6666666666666666,1,0.3333333333333333,0.004611952169973644,False,False,False,1
feature_010,0,0.0,0.024513515715338764,0.6666666666666667,1,0.3333333333333333,-5.7646513897443e-05,False,False,False,1
feature_151,0,0.0,0.022469971672829863,0.6666666666666666,1,0.3333333333333333,0.001351708487550932,False,False,False,1
feature_424,0,0.0,0.01237765848924527,0.6666666666666667,1,0.3333333333333333,0.013817803728099437,False,False,False,1
feature_109,0,0.0,0.5761367475589437,1.0,0,0.0,-4.924131218624216e-05,False,False,False,0
feature_358,0,0.0,0.5067061895404132,1.0,0,0.0,1.2937798059765552e-05,False,False,False,0
feature_085,0,0.0,0.4754750341757974,1.0,0,0.0,-1.0999298208443241e-06,False,False,False,0
feature_064,0,0.0,0.43337406485067514,1.0,0,0.0,0.0007127801470786665,False,False,False,0
feature_020,0,0.0,0.4142842667470498,1.0,0,0.0,-0.000561166898033684,False,False,False,0
feature_214,0,0.0,0.4029399541213799,1.0,0,0.0,0.00035320546552720006,False,False,False,0
feature_155,0,0.0,0.39355754043641417,1.0,0,0.0,-0.00011638139633210014,False,False,False,0
feature_344,0,0.0,0.3908957830473991,1.0,0,0.0,-0.000766879406244153,False,False,False,0
feature_303,0,0.0,0.3767608356881347,1.0,0,0.0,0.0006204923991421032,False,False,False,0
feature_365,0,0.0,0.3645932149742925,1.0,0,0.0,-0.00011656655038243487,False,False,False,0
