feature,folds_retained,top_k_count,mean_standardized_coefficient,mean_absolute_coefficient,coefficient_std_across_folds,median_absolute_rank,sign_consistency,retained_frequency,top_k_frequency
feature_008,3,3,-0.7118430015496336,0.7118430015496336,0.2244860389703495,4.0,1.0,1.0,1.0
feature_562,3,3,-0.652842563805207,0.652842563805207,0.05778299256989539,9.0,1.0,1.0,1.0
feature_249,3,3,0.5981880678341652,0.5981880678341652,0.1711297190862324,7.0,1.0,1.0,1.0
feature_280,3,3,-0.5888637879464658,0.5888637879464658,0.23232714446919267,10.0,1.0,1.0,1.0
feature_387,3,3,0.5730161970178301,0.5730161970178301,0.14762696270800738,12.0,1.0,1.0,1.0
feature_000,3,2,-0.636058854214765,0.636058854214765,0.3207036688109306,3.0,1.0,1.0,0.6666666666666666
feature_433,3,2,-0.6161922536071526,0.6161922536071526,0.1526481384685232,3.0,1.0,1.0,0.6666666666666666
feature_216,3,2,0.5671745493581893,0.5671745493581893,0.4124478228532121,4.0,1.0,1.0,0.6666666666666666
feature_075,3,2,0.5562496082926773,0.5562496082926773,0.17262654582215153,17.0,1.0,1.0,0.6666666666666666
feature_205,3,2,0.5402987548616908,0.5402987548616908,0.24459132211986592,16.0,1.0,1.0,0.6666666666666666
feature_588,3,2,0.49476040664400106,0.49476040664400106,0.0357447297990559,19.0,1.0,1.0,0.6666666666666666
feature_363,3,2,-0.4789119580689256,0.4789119580689256,0.2723831202046609,12.0,1.0,1.0,0.6666666666666666
feature_089,3,1,0.498134619498928,0.498134619498928,0.22134888456993285,33.0,1.0,1.0,0.3333333333333333
feature_086,3,1,0.4900501092148552,0.4900501092148552,0.15133625273164342,42.0,1.0,1.0,0.3333333333333333
feature_113,3,1,0.4862285616531663,0.4862285616531663,0.16622817098761458,22.0,1.0,1.0,0.3333333333333333
feature_078,3,1,-0.4601151684674207,0.4601151684674207,0.2089079697582783,33.0,1.0,1.0,0.3333333333333333
feature_116,3,1,0.4453867753830425,0.4453867753830425,0.19575528083371363,23.0,1.0,1.0,0.3333333333333333
feature_213,3,1,0.4447131374180528,0.4447131374180528,0.021857733768129436,44.0,1.0,1.0,0.3333333333333333
feature_269,3,1,0.44019618614060124,0.44019618614060124,0.156522012369499,40.0,1.0,1.0,0.3333333333333333
feature_301,3,1,0.4392707315125112,0.4392707315125112,0.13183205507283943,24.0,1.0,1.0,0.3333333333333333
feature_145,3,1,-0.4335742954797077,0.4335742954797077,0.09483341963325817,30.0,1.0,1.0,0.3333333333333333
feature_541,3,1,0.42572477605894776,0.42572477605894776,0.13501686351263162,33.0,1.0,1.0,0.3333333333333333
feature_056,3,1,0.4182255334696939,0.4182255334696939,0.43015168674015697,113.0,1.0,1.0,0.3333333333333333
feature_009,3,1,-0.41662059363531956,0.41662059363531956,0.09192650132847023,40.0,1.0,1.0,0.3333333333333333
feature_133,3,1,0.4117752037922637,0.4117752037922637,0.036159457273626384,31.0,1.0,1.0,0.3333333333333333
