feature,positive_top_k_count,mean_ap_drop,ap_drop_std_across_folds,median_positive_rank,positive_top_k_frequency
feature_163,2,0.010711847045231567,0.016207609758487094,14.0,0.6666666666666666
feature_251,2,0.00867474676894763,0.014291615115793866,15.0,0.6666666666666666
feature_039,2,0.004498615953663644,0.0050052415841481766,15.0,0.6666666666666666
feature_219,2,0.0019635474004182853,0.000982938399271989,12.0,0.6666666666666666
feature_059,1,0.018978059447673546,0.036579100418432035,79.5,0.3333333333333333
feature_562,1,0.014061714899948856,0.023989236096359584,134.0,0.3333333333333333
feature_424,1,0.013817803728099437,0.012771567453855546,11.5,0.3333333333333333
feature_490,1,0.013520853085124929,0.02466246213924322,2.0,0.3333333333333333
feature_131,1,0.012996006647065845,0.021849085322401336,21.5,0.3333333333333333
feature_021,1,0.012905755380748271,0.021338467909308403,45.0,0.3333333333333333
feature_437,1,0.01265950068667017,0.022564062539571106,4.0,0.3333333333333333
feature_541,1,0.012577845477746832,0.020617611531150735,57.0,0.3333333333333333
feature_197,1,0.012525709095670183,0.021245454858558367,39.0,0.3333333333333333
feature_456,1,0.012031132019545886,0.02117721457566726,85.0,0.3333333333333333
feature_218,1,0.011929102686025948,0.020180333835061313,18.5,0.3333333333333333
feature_001,1,0.01142951202139604,0.0194311257896993,145.0,0.3333333333333333
feature_135,1,0.010720005693807759,0.01924201796775787,111.0,0.3333333333333333
feature_270,1,0.009932768772762056,0.015052569278622708,25.0,0.3333333333333333
feature_519,1,0.009731481823784579,0.01625346510424378,48.0,0.3333333333333333
feature_252,1,0.00935445456846922,0.015382677172586703,59.0,0.3333333333333333
feature_166,1,0.00840529254366525,0.015373823458336763,17.0,0.3333333333333333
feature_446,1,0.008344040251330525,0.01535282144720232,57.5,0.3333333333333333
feature_301,1,0.008311164585491642,0.01270864307945083,23.0,0.3333333333333333
feature_539,1,0.008182326700702222,0.014496820270057336,20.0,0.3333333333333333
feature_175,1,0.006381911722672387,0.009185454964268794,30.0,0.3333333333333333
feature_031,1,0.006189856132109429,0.006402667430713226,36.0,0.3333333333333333
feature_115,1,0.005898418194666628,0.007823273840215002,20.0,0.3333333333333333
feature_525,1,0.005003009031366419,0.006973393744351154,25.0,0.3333333333333333
feature_125,1,0.004640583761261147,0.006666622992403069,24.5,0.3333333333333333
feature_561,1,0.004611952169973644,0.007154772172128863,24.5,0.3333333333333333
feature_047,1,0.002089211587393788,0.001605602558385768,61.0,0.3333333333333333
feature_341,1,0.0019764964939567907,0.006771703035158087,2.0,0.3333333333333333
feature_103,1,0.0018850361540970705,0.0004337235307107566,24.0,0.3333333333333333
feature_151,1,0.001351708487550932,0.002188622999443336,39.0,0.3333333333333333
feature_588,1,0.0013454553324870864,0.0007313883558271975,43.0,0.3333333333333333
feature_589,1,0.0013059015027547772,0.0016692474128505981,53.5,0.3333333333333333
feature_434,1,0.0010309495023483482,0.0005610928593868213,21.0,0.3333333333333333
feature_573,1,0.0007052346389662037,0.000990018636023409,68.0,0.3333333333333333
feature_418,1,0.0006608731960329284,0.0008265387991885929,140.0,0.3333333333333333
feature_351,1,0.0006322831810574187,0.0015732690326550464,68.5,0.3333333333333333
feature_014,1,0.0006156236735585858,0.001211324678341635,103.5,0.3333333333333333
feature_392,1,0.0005556535408595255,0.0009988902255706714,93.0,0.3333333333333333
feature_308,1,0.0005547830110089878,0.0005836182114590755,129.0,0.3333333333333333
feature_390,1,0.0005519813935051697,0.0022097416395124325,22.5,0.3333333333333333
feature_107,1,0.00043590404389568264,0.0008554736272498298,75.0,0.3333333333333333
feature_250,1,0.0003679299984066735,0.0011982275926692917,108.0,0.3333333333333333
feature_431,1,0.00029326541959465467,0.001257033705504047,15.0,0.3333333333333333
feature_584,1,0.00018095841917187272,0.001054180759210786,99.0,0.3333333333333333
feature_421,1,0.00010668224710187898,0.0013438680094907628,9.0,0.3333333333333333
feature_010,1,-5.7646513897443e-05,0.001144855240467564,17.0,0.3333333333333333
feature_278,1,-0.0005686154611378377,0.0025073590688043696,18.0,0.3333333333333333
feature_152,1,-0.0005970140072630827,0.002666121032640972,45.0,0.3333333333333333
feature_309,1,-0.0008928430244563732,0.002455836331049688,13.0,0.3333333333333333
feature_445,1,-0.0012106005362045198,0.0035185871641206074,108.5,0.3333333333333333
feature_202,1,-0.00227157789049826,0.00778955538342965,39.0,0.3333333333333333
feature_443,1,-0.002302337299070706,0.0055431477650261,86.5,0.3333333333333333
feature_227,0,0.00873097882526397,0.013428519099568529,39.0,0.0
feature_286,0,0.007607787291393942,0.012295676593374369,41.0,0.0
feature_174,0,0.0073716510520585275,0.013234388069705429,34.0,0.0
feature_405,0,0.007195361223608438,0.011742874997801292,87.0,0.0
feature_139,0,0.006921633760503688,0.012203149190624752,94.5,0.0
feature_334,0,0.006463590709261824,0.012465580254275719,27.0,0.0
feature_486,0,0.006305767793511369,0.010537051973414495,39.5,0.0
feature_417,0,0.005876581824686568,0.009166322297157628,76.0,0.0
feature_480,0,0.005159583995553192,0.008281952569020205,81.0,0.0
feature_361,0,0.004893320269152524,0.008912661591055557,76.5,0.0
feature_035,0,0.004431153952553424,0.008118935402025717,103.5,0.0
feature_366,0,0.0044050282124793875,0.007284981584743381,153.0,0.0
feature_221,0,0.0043335974566900805,0.0075376555430683905,82.0,0.0
feature_172,0,0.004183426760687204,0.006515380586784802,95.0,0.0
feature_100,0,0.004147442570745371,0.007716453189177118,37.0,0.0
feature_476,0,0.004144011246331197,0.007732202729847529,83.5,0.0
feature_563,0,0.0039669263889460646,0.006141481106966414,92.0,0.0
feature_567,0,0.003953553157851839,0.006635451658401585,168.0,0.0
feature_368,0,0.003935027951813337,0.006813961115710394,46.0,0.0
feature_046,0,0.003910339726423867,0.006178466118086228,94.0,0.0
feature_281,0,0.003812532982267193,0.00730043502217763,89.0,0.0
feature_128,0,0.0037730433498392624,0.006851325812743082,114.0,0.0
feature_106,0,0.0037253507608598544,0.006357336969921499,42.0,0.0
feature_577,0,0.0035558616489473997,0.006791392580348954,108.0,0.0
feature_022,0,0.003544300700151163,0.006779240489796127,133.0,0.0
feature_408,0,0.0034439009152918113,0.0066760690657734845,52.0,0.0
feature_336,0,0.003427505163238668,0.005144725613753983,58.0,0.0
feature_483,0,0.003300510850202762,0.008168705497013916,43.0,0.0
feature_144,0,0.0032346935778735423,0.00678004193636066,99.0,0.0
feature_132,0,0.002719433422732753,0.004421621966545601,51.0,0.0
feature_127,0,0.001338387293950463,0.0013530257656652368,64.0,0.0
feature_225,0,0.001318308310087749,0.0011990271918919796,65.0,0.0
feature_482,0,0.0010823739878187257,0.00312310367739248,60.0,0.0
feature_123,0,0.0008172268439670935,0.0011212540949829524,141.0,0.0
feature_061,0,0.000748786127846403,0.0014575666655581914,129.0,0.0
feature_277,0,0.0007357032136295327,0.0001642440670569198,69.0,0.0
feature_007,0,0.0007168362761015051,0.0016967801400002557,77.5,0.0
feature_064,0,0.0007127801470786665,0.0008174436097715457,67.0,0.0
feature_025,0,0.000685801132894139,0.0011303230508002803,81.0,0.0
feature_011,0,0.0006737175440408915,0.0006301337350982284,83.0,0.0
feature_419,0,0.0006509214001452367,0.0005974683591380255,137.0,0.0
feature_156,0,0.0006326121424272867,0.0007868027064099233,81.0,0.0
feature_028,0,0.0006234651485864493,0.0008080631132636861,144.0,0.0
feature_303,0,0.0006204923991421032,5.206680518529878e-05,73.0,0.0
feature_228,0,0.0006140857696809891,0.0016435163237318558,66.0,0.0
feature_473,0,0.000582458766210626,0.001117472336408562,109.5,0.0
feature_160,0,0.0005703841835287803,0.0009451612799821971,113.5,0.0
feature_527,0,0.0005670327181923687,0.0005765408073570567,126.0,0.0
feature_223,0,0.0005646689027979233,0.0005105246553635508,131.0,0.0
feature_105,0,0.0005623178355858171,0.0003759467227696051,96.0,0.0
feature_269,0,0.0005434905498584672,0.002413874552878947,55.0,0.0
feature_355,0,0.0004757843925286122,0.0006143858392121394,173.0,0.0
feature_173,0,0.0004671299485812866,0.0001552501985505082,84.0,0.0
feature_165,0,0.0004667457119577781,0.0005216048098128668,164.0,0.0
feature_213,0,0.00045737697991499415,0.0006634748737969324,73.5,0.0
feature_524,0,0.00044830119377521085,0.00041790766457749424,59.5,0.0
feature_438,0,0.00044095662064779477,0.00019301766525825072,108.0,0.0
feature_412,0,0.00043062749819040765,0.0012618488364413685,74.0,0.0
feature_023,0,0.0004271521519412645,0.00084228586157258,142.0,0.0
feature_072,0,0.00042168949329109763,0.0004036624770151435,116.0,0.0
feature_239,0,0.00041656977790376315,0.0011640959633851583,68.5,0.0
feature_420,0,0.00041281384214751404,0.001073234519051269,137.5,0.0
feature_511,0,0.00041034415258716896,0.00044279181453914403,94.5,0.0
feature_474,0,0.0003841649408963625,0.0005500049887177644,105.5,0.0
feature_376,0,0.00038408949797416684,6.453568474050084e-05,130.0,0.0
feature_089,0,0.00038317440419959357,0.00017330160602149075,122.0,0.0
feature_430,0,0.00038296412059541204,0.0005790703959032371,198.0,0.0
feature_495,0,0.0003737765346041434,0.0010698468553917847,115.5,0.0
feature_067,0,0.000369846579393224,0.0010671208352355215,64.5,0.0
feature_484,0,0.00036320017332990164,0.0007948788826812117,96.0,0.0
feature_214,0,0.00035320546552720006,0.0029273872760262683,62.0,0.0
feature_300,0,0.0003484958536044475,0.0010572945406590942,59.5,0.0
feature_167,0,0.0003282478427919018,0.0003171640052986164,121.0,0.0
feature_185,0,0.00032652651021335285,0.0007465926276176773,35.0,0.0
feature_070,0,0.0003252803873487413,0.0007448401975254859,144.0,0.0
feature_489,0,0.00032235723945224504,0.0004541841676388554,100.0,0.0
feature_311,0,0.0003052690498036704,0.0002573436716681527,127.0,0.0
feature_162,0,0.0002987123192698054,0.00031050138676129847,103.0,0.0
feature_268,0,0.0002816060255562491,0.0006499667692636351,84.0,0.0
feature_457,0,0.0002804406313058647,0.000562726392379251,98.0,0.0
feature_306,0,0.0002802084793898042,0.0014427792238136542,75.0,0.0
feature_054,0,0.0002617157138951231,0.000902570264962314,51.0,0.0
feature_499,0,0.00026021527387693925,0.0004500630953281489,102.0,0.0
